,Gram,Count
0,TH,1.0
1,HE,0.864613304760216
2,IN,0.6840846556850285
3,ER,0.5759691125501173
4,AN,0.5582215909946168
5,RE,0.5214329136921666
6,ON,0.49435997836084716
7,AT,0.41806670633673915
8,EN,0.40893228026868694
9,ND,0.3802592542301225
10,TI,0.37753088425720377
11,ES,0.3766352466681281
12,OR,0.35896056808352866
13,TE,0.3388071934807269
14,OF,0.3304009299506513
15,ED,0.32847417773611226
16,IS,0.31731240833232527
17,IT,0.3158625049251088
18,AL,0.3057887719978177
19,AR,0.3022594274316691
20,ST,0.2962353520276748
21,TO,0.2928021568817235
22,NT,0.29279783231113937
23,NG,0.26798586642616434
24,SE,0.26210873245840655
25,HA,0.2603228316764326
26,AS,0.2449501054379937
27,OU,0.24464282427222192
28,IO,0.23478104198618166
29,LE,0.23318450183139797
30,VE,0.2320671099200185
31,CO,0.2232315992932788
32,ME,0.22299166941225163
33,DE,0.21506520391266246
34,HI,0.21462187205569697
35,RI,0.20460473322370662
36,RO,0.2043532215930148
37,IC,0.19647488110627523
38,NE,0.19451064318995684
39,EA,0.1935104251743436
40,RA,0.19279835651487068
41,CE,0.18317694328159528
42,LI,0.17556624081534544
43,CH,0.16809022489231182
44,LL,0.16213023885307884
45,BE,0.16204943345733175
46,MA,0.15895220293549664
47,SI,0.1546745740727757
48,OM,0.1536059172197613
49,UR,0.15261916064515094
50,CA,0.15133023330125875
51,EL,0.1491192947376749
52,TA,0.14900245983697433
53,LA,0.14833977871560192
54,NS,0.14311172822982546
55,DI,0.1386206849596804
56,FO,0.13715484043715206
57,HO,0.1363530013925429
58,PE,0.1344091051448048
59,EC,0.1342104474642485
60,PR,0.1334197712124109
61,NO,0.13063703724943942
62,CT,0.12962382062001807
63,US,0.12773565401620135
64,AC,0.12591211767133803
65,OT,0.12431802801048082
66,IL,0.12134612511728173
67,TR,0.1197392302249804
68,LY,0.11951239758865097
69,NC,0.11690633682001697
70,ET,0.11602404633391084
71,UT,0.11392715246399458
72,SS,0.1139057646497803
73,SO,0.11184090586343468
74,RS,0.11150209449654093
75,UN,0.11090757473964336
76,LO,0.10879047032338507
77,WA,0.10835542082833023
78,GE,0.10831392596538489
79,IE,0.10816119965294907
80,WH,0.10651535391645019
81,EE,0.10618128300541443
82,WI,0.10528574691939176
83,EM,0.10507286099003664
84,AD,0.10346799615879584
85,OL,0.10277518644207684
86,RT,0.10170206455173612
87,PO,0.10161679642237713
88,WE,0.101483522305413
89,,0.09764114550505022
90,UL,0.09724592614508332
91,NI,0.09538522749606329
92,TS,0.09490036583149757
93,MO,0.09472866848077215
94,OW,0.09292911249646528
95,PA,0.09098727256814287
96,IM,0.08935279623069868
97,MI,0.08933351241580738
98,AI,0.0889838083392313
99,SH,0.08864419069224018
100,IR,0.08862517993232942
101,SU,0.08750154701927051
102,ID,0.08309442028624921
103,OS,0.08153738087528421
104,IV,0.08094164699108386
105,IA,0.08050134994376307
106,AM,0.08010304116315538
107,FI,0.08002420931266989
108,CI,0.07915226058948206
109,VI,0.07579461634595025
110,PL,0.07395071942409746
111,IG,0.07169389923666791
112,TU,0.07167852879429804
113,EV,0.0716439401879111
114,LD,0.07103167511838107
115,RY,0.06966328830643255
116,MP,0.06725484785874855
117,FE,0.06652315934126439
118,BL,0.06563090799296772
119,AB,0.0646147237804767
120,GH,0.0639727304134037
121,TY,0.06390910643884407
122,OP,0.06296257660719312
123,WO,0.062356104302339045
124,SA,0.06130530023871113
125,AY,0.06112066192687451
126,EX,0.06018813708318057
127,KE,0.06011035163762158
128,FR,0.059947437601976336
129,OO,0.05912369375373758
130,AV,0.05762586734249858
131,AG,0.05756745088942726
132,IF,0.057154540758014474
133,AP,0.05703907836248906
134,GR,0.055332750718427866
135,OD,0.05495919553862192
136,BO,0.0549482573330732
137,SP,0.05377950703098481
138,RD,0.05323458931692027
139,DO,0.05293049679107346
140,UC,0.05276663960876572
141,BU,0.05200513338767941
142,EI,0.05155731275814827
143,OV,0.050076769071693956
144,BY,0.049621756544963334
145,RM,0.04924621380812634
146,EP,0.048245374228425585
147,TT,0.04799498440692278
148,OC,0.0467919539069673
149,FA,0.046115585710226246
150,EF,0.04575911802787486
151,CU,0.04572589770817307
152,RN,0.04509237710351065
153,SC,0.043514380383714864
154,GI,0.042639058962796336
155,DA,0.04247900115405156
156,YO,0.042151192297254184
157,CR,0.04202583952721546
158,CL,0.04190085231975404
159,DU,0.04174602970698884
160,GA,0.04163813252009776
161,QU,0.041487482562412005
162,UE,0.04147033547753931
163,FF,0.04114308485761521
164,BA,0.04111155860571796
165,EY,0.04042016367880221
166,LS,0.039792461299347714
167,VA,0.03936126595838935
168,UM,0.038912062033124646
169,PP,0.03839549454661128
170,UA,0.03833578321655941
171,UP,0.03824558297427099
172,LU,0.038014120959014665
173,GO,0.03715321615294581
174,HT,0.03660714674124168
175,RU,0.036084926557882945
176,UG,0.03596649079506987
177,DS,0.035503383893513464
178,LT,0.03476563692626436
179,PI,0.03461294737353117
180,RC,0.034132810068740936
181,RR,0.03395183437360284
182,EG,0.03361244935190303
183,AU,0.033470905129586746
184,CK,0.03307535647807849
185,EW,0.03284467643923117
186,MU,0.0322296245633894
187,BR,0.03136952646624788
188,BI,0.029974010604813237
189,PT,0.029744837614046206
190,AK,0.029440351551947137
191,PU,0.02939560850154984
192,UI,0.028443217581641075
193,RG,0.028055201557663372
194,IB,0.027726035065120197
195,TL,0.027682818519715793
196,NY,0.027533294699409763
197,KI,0.02752232379308379
198,RK,0.02728496843756792
199,YS,0.02722814238515275
200,OB,0.0271827442720675
201,MM,0.027013517111528097
202,FU,0.02698705583006395
203,PH,0.02654138607196712
204,OG,0.02643852081565703
205,MS,0.026103600163106627
206,YE,0.026057317752790587
207,UD,0.025701013334978512
208,MB,0.02537876930477692
209,IP,0.025085108735757984
210,UB,0.024907707856878368
211,OI,0.024674428849212317
212,RL,0.024256549406364722
213,GU,0.02411730659474247
214,DR,0.02402743433755996
215,HR,0.02373010306391009
216,CC,0.02337740904526995
217,TW,0.023161995721807396
218,FT,0.022962943936549834
219,WN,0.022210239470231763
220,NU,0.022113748262587784
221,AF,0.020866023040373632
222,HU,0.020721336870733492
223,NN,0.02046036537091185
224,EO,0.020386062134286672
225,VO,0.019994275129278136
226,RV,0.01948140236187317
227,NF,0.018890159284687576
228,XP,0.018801048390157872
229,GN,0.018456655262871526
230,SM,0.018332906007707348
231,FL,0.018250193435613755
232,IZ,0.018091279934671436
233,OK,0.01808342078803505
234,NL,0.01793497637261646
235,MY,0.01748576269396348
236,GL,0.017050002388326546
237,AW,0.016847398843900175
238,JU,0.016506069586967535
239,OA,0.016164029599235123
240,EQ,0.016098198377061293
241,SY,0.01598368193055226
242,SL,0.015712596496191795
243,PS,0.015344368162302294
244,JO,0.015124606223859766
245,LF,0.015036651684262417
246,NV,0.014623363085482531
247,JE,0.014589714584057252
248,NK,0.014510410083179237
249,KN,0.01446355277145842
250,GS,0.014394473930281641
251,DY,0.014177828787787474
252,HY,0.014084006916965978
253,ZE,0.013983751968536453
254,KS,0.013358459114788555
255,XT,0.013119897699956728
256,BS,0.012887030917550734
257,IK,0.012066025198437443
258,DD,0.012020670746225263
259,CY,0.011730237222344233
260,RP,0.01170249106660755
261,SK,0.011096436462075048
262,XI,0.011083395643421113
263,OE,0.01086190880130846
264,OY,0.01017314512513153
265,WS,0.00986462142955205
266,LV,0.009814512011072944
267,DL,0.00909305469816106
268,RF,0.009070600553386583
269,EU,0.008759121900289133
270,DG,0.008717097542050283
271,WR,0.008649011531974015
272,XA,0.00832278932606389
273,YI,0.008103081928807942
274,NM,0.007802131519822406
275,EB,0.007612066115587813
276,RB,0.007510454628419352
277,TM,0.007444897059593434
278,XC,0.007439464561943473
279,EH,0.007401206607225006
280,TC,0.007348500304240203
281,GY,0.0072933006841701875
282,JA,0.007271229205307253
283,HN,0.0072421212451987006
284,YP,0.007004886819730087
285,ZA,0.007001888500522732
286,GG,0.006960009246373244
287,YM,0.006656356879570292
288,SW,0.006615110378978324
289,BJ,0.006529714238891423
290,LM,0.006472463186072661
291,CS,0.006416799163107156
292,II,0.00640536342505574
293,IX,0.006194377730985529
294,XE,0.006127612188068046
295,OH,0.006003831508643688
296,LK,0.005542706878539825
297,DV,0.005356602845863213
298,LP,0.005350357296591706
299,AX,0.005296617902354586
300,OX,0.005222390947597418
301,UF,0.005210262499577125
302,DM,0.005110283717638503
303,IU,0.004894395110966953
304,SF,0.004825632676487303
305,BT,0.00480860921431507
306,KA,0.004766947755918682
307,YT,0.00469050067867589
308,EK,0.004630857692151467
309,PM,0.004485860590875715
310,YA,0.00443233516284047
311,GT,0.0043302101966786665
312,WL,0.004279182563511186
313,RH,0.004248364718753717
314,YL,0.004148503954807777
315,HS,0.004128177464813317
316,AH,0.0038354841367166568
317,YC,0.003795349213231527
318,YN,0.003714817331213294
319,RW,0.0035863606600432243
320,HM,0.003582389973899713
321,LW,0.0035530468155201274
322,HL,0.0035398378057687973
323,AE,0.0034848921427871413
324,ZI,0.0034064175375723873
325,AZ,0.0033365904379883977
326,LC,0.003323312835389876
327,PY,0.003306958567348533
328,AJ,0.003303831060624092
329,IQ,0.0031776089724846347
330,NJ,0.003116486602398404
331,BB,0.0030733812137074034
332,NH,0.003059491840300779
333,UO,0.0029956677816624522
334,KL,0.002971225850482756
335,LR,0.0028254097338572485
336,TN,0.0028139883466501334
337,GM,0.0027711048226104085
338,SN,0.0025789914860762366
339,NR,0.0025724652526401158
340,FY,0.00255737230314216
341,MN,0.0024707619260517953
342,DW,0.002294263943655655
343,SB,0.0022250521153289334
344,YR,0.002189989302794293
345,DN,0.0021275116206222523
346,SQ,0.0020922332961033413
347,ZO,0.002018298175089612
348,OJ,0.001960617015798957
349,YD,0.001916224718386335
350,LB,0.0018803073873707957
351,WT,0.0018384472011951129
352,LG,0.0017109056531486267
353,KO,0.0017075904385774505
354,NP,0.001696237434788945
355,SR,0.0016833702922667124
356,NQ,0.0016721405820766119
357,KY,0.0016720550354870204
358,LN,0.0016495948372292272
359,NW,0.0016291149358116284
360,TF,0.001590925165055977
361,FS,0.0015482749843484112
362,CQ,0.001538437804695083
363,DH,0.0015282743851740342
364,SD,0.001477720230140622
365,VY,0.001376097393937542
366,DJ,0.0013436611449305867
367,HW,0.0013414914847605763
368,XU,0.001340623682523868
369,AO,0.0012998764796183636
370,ML,0.0012943566701950438
371,UK,0.0012936691859679417
372,UY,0.0012833236234167811
373,EJ,0.0012774602513901238
374,EZ,0.0012709341974642165
375,HB,0.0012334179191117924
376,NZ,0.0012275798480524695
377,NB,0.0012182642851888352
378,MC,0.0012116078270655044
379,YB,0.0012079114026100738
380,TP,0.001206601656200161
381,XH,0.0011719888458527595
382,UX,0.0011054613633969383
383,TZ,0.0010813249586008654
384,BV,0.0010799041252870752
385,MF,0.0010727175136661126
386,WD,0.000993962543416014
387,OZ,0.0009753885617734225
388,YW,0.000947118405750321
389,KH,0.0008946739981944364
390,GD,0.000887455802748662
391,BM,0.0008788890866868274
392,MR,0.0008724225703151124
393,KU,0.0008498196215463128
394,UV,0.0008192880257700799
395,DT,0.0008132642713403204
396,HD,0.0008022541520054561
397,AA,0.0007947792569541693
398,XX,0.0007875336163912865
399,DF,0.0007803456883620906
400,DB,0.0007787774771628978
401,JI,0.0007758817679882205
402,KR,0.0007643483564350016
403,XO,0.0007579038300644581
404,CM,0.0007484066527285633
405,ZZ,0.0007470874620868547
406,NX,0.000735987557726799
407,YG,0.0007280381074801622
408,XY,0.0007234842824076249
409,KG,0.0007197131118937903
410,TB,0.0007145120627459557
411,DC,0.0007073706478076732
412,BD,0.0006947160553511859
413,SG,0.0006929959485928804
414,WY,0.00068083181793123
415,ZY,0.0006619257523661848
416,AQ,0.0006301204717874024
417,HF,0.0006297808185176066
418,CD,0.0006263500392600016
419,VU,0.0006211543853913661
420,KW,0.0006114968455979483
421,ZU,0.0006042796175127698
422,BN,0.0005880167500885411
423,IH,0.0005870615762417358
424,TG,0.0005527206041945309
425,XV,0.0005482711244200695
426,UZ,0.0005362747360802808
427,BC,0.0005303338754780667
428,XF,0.0005213198997461458
429,YZ,0.0005085917679388019
430,KM,0.0005021220901927688
431,DP,0.0004862296321216071
432,LH,0.00045419092842834824
433,WF,0.00045107468098341835
434,KF,0.00044538078654402126
435,PF,0.0004081090310209507
436,CF,0.00039496537296017717
437,MT,0.000383341069402116
438,YU,0.00037234632810888735
439,CP,0.0003686682436136174
440,PB,0.0003670134785730787
441,TD,0.00036340347831272844
442,ZL,0.00035260634784635403
443,SV,0.0003481001827355395
444,HC,0.0003443758045507284
445,MG,0.00034343309669098175
446,PW,0.0003384510599765838
447,GF,0.0003377038586850759
448,PD,0.000336066725536633
449,PN,0.00033345139137009
450,PC,0.0003296670866922904
451,RX,0.0003280110750530459
452,TV,0.0003261674852133319
453,IJ,0.00031139493152836377
454,WM,0.00030548871639738323
455,UH,0.00029915521709397914
456,WK,0.00029914104575989083
457,WB,0.00029747937954891645
458,BH,0.00029617115897581956
459,OQ,0.00029048391638711703
460,KT,0.0002895317343772058
461,RQ,0.0002797623198295286
462,KB,0.00025237335949963136
463,CG,0.0002480797644001415
464,VR,0.00024534288187338146
465,CN,0.000240839199987189
466,PK,0.00022936870676385271
467,UU,0.00021847276589765635
468,YF,0.00021089087278624744
469,WP,0.00020825714879559547
470,CZ,0.00020445906172250378
471,KP,0.00020337179827682465
472,DQ,0.000197739386085601
473,WU,0.00019448583327281194
474,FM,0.00019188412193692667
475,WC,0.00018856794997794443
476,MD,0.00018777775599026857
477,KD,0.00018743607824417448
478,ZH,0.00018631864710981334
479,GW,0.00018111458617950537
480,RZ,0.00017844431191479734
481,CB,0.00017603894486148115
482,IW,0.00017464309338575653
483,XL,0.00016583000952848372
484,HP,0.00016550961371549625
485,MW,0.0001632081731030909
486,VS,0.00016119258256033601
487,FC,0.00016110424358964335
488,RJ,0.0001545582939483904
489,BP,0.0001528553503610673
490,MH,0.00014893253360786127
491,HH,0.0001459060612153332
492,YH,0.0001454319747410966
493,UJ,0.00014408701441094034
494,FG,0.00014285537488954234
495,FD,0.00013829090885045172
496,GB,0.00013807170693401182
497,PG,0.00013218875832127756
498,TK,0.00012946657568645715
499,KK,0.00012648145047980532
500,HQ,0.00011793166821479123
501,FN,0.00011691158148017393
502,LZ,0.00011636032555964927
503,VL,0.00011489660925037715
504,GP,0.00011481607897397805
505,HZ,0.0001060104846817301
506,DK,9.368456545363728e-05
507,YK,9.167561678878725e-05
508,QI,8.830514299017739e-05
509,LX,8.489290314852611e-05
510,VD,8.307655897012758e-05
511,ZS,8.273321576816247e-05
512,BW,8.197493470735684e-05
513,XQ,8.103417154159135e-05
514,MV,8.05056037175135e-05
515,UW,7.703476376389675e-05
516,HG,7.668814948692744e-05
517,FB,7.610069233998437e-05
518,SJ,7.501370813241533e-05
519,WW,7.257807366252067e-05
520,GK,7.219187738344263e-05
521,UQ,7.116301459393601e-05
522,BG,7.083917816852035e-05
523,SZ,6.922156176941654e-05
524,JR,6.72821134756161e-05
525,QL,6.590926922560696e-05
526,ZT,6.509578877410547e-05
527,HK,6.4779262403501e-05
528,VC,6.453228626789436e-05
529,XM,6.451610043029736e-05
530,GC,6.337764665536043e-05
531,FW,6.334219338816554e-05
532,PZ,6.265096936494597e-05
533,KC,6.209071798815975e-05
534,HV,6.176137658285897e-05
535,XW,6.175665945335596e-05
536,ZW,6.162462969122003e-05
537,FP,6.146116569611692e-05
538,IY,6.130851220499108e-05
539,PV,6.10542858513111e-05
540,VT,6.065373872793111e-05
541,JP,6.013031686331108e-05
542,CV,5.753699264351888e-05
543,ZB,5.7425337290631656e-05
544,VP,5.395316098320223e-05
545,ZR,5.2063038106995586e-05
546,FH,5.0523708106620314e-05
547,YV,5.0021059562834876e-05
548,ZG,4.6140547383311186e-05
549,ZM,4.601045234236675e-05
550,ZV,4.506400468650251e-05
551,QS,4.336760324918782e-05
552,KV,4.303209865988522e-05
553,VN,4.2062863179677696e-05
554,ZN,4.189083255826785e-05
555,QA,4.1868613182934454e-05
556,YX,4.099996325910604e-05
557,JN,4.039856415223653e-05
558,BF,3.9977792211452526e-05
559,MK,3.8463793096780504e-05
560,CW,3.798848994220699e-05
561,JM,3.549845390478823e-05
562,LQ,3.4734438489935595e-05
563,JH,3.432494577424229e-05
564,KJ,3.3619799736675576e-05
565,JC,3.338453165611444e-05
566,GZ,3.322120728006639e-05
567,JS,3.220242698089283e-05
568,TX,3.220103079034226e-05
569,FK,3.18451019278427e-05
570,JL,3.083903693546901e-05
571,VM,3.069838071028846e-05
572,LJ,3.061470900515057e-05
573,TJ,3.061296376696236e-05
574,JJ,2.8721045788619266e-05
575,CJ,2.8542512908359613e-05
576,VG,2.8524761342788045e-05
577,MJ,2.815633657486087e-05
578,JT,2.8101735551543835e-05
579,PJ,2.703387915451765e-05
580,WG,2.6445584293244225e-05
581,VH,2.5840186097726283e-05
582,BK,2.532571979820921e-05
583,VV,2.515698019738286e-05
584,JD,2.508294220704392e-05
585,TQ,2.410813193742376e-05
586,VB,2.3894853858034142e-05
587,JF,2.315457368254124e-05
588,DZ,2.094978934739411e-05
589,XB,2.0590968375896944e-05
590,JB,2.0205928940417956e-05
591,ZC,1.995343785213654e-05
592,FJ,1.9600790037430836e-05
593,YY,1.8878570583988553e-05
594,QN,1.7550125193487633e-05
595,XS,1.7000923667630242e-05
596,QR,1.6398417581109917e-05
597,JK,1.6356611646909913e-05
598,JV,1.6153096928584658e-05
599,QQ,1.6078231196705024e-05
600,XN,1.5094834355198838e-05
601,VF,1.4463616607284951e-05
602,PX,1.3697217695706693e-05
603,ZD,1.3114288195263325e-05
604,QT,1.281998119999226e-05
605,ZP,1.2584034969735133e-05
606,QO,1.2210224895398604e-05
607,DX,1.1930129125374441e-05
